,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,hhsize,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisocemento,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,dis,estadocivil1,estadocivil2,estadocivil3,estadocivil4,estadocivil5,estadocivil6,estadocivil7,parentesco1,parentesco2,parentesco3,parentesco4,parentesco5,parentesco6,parentesco7,parentesco8,parentesco9,parentesco10,parentesco11,parentesco12,idhogar,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,HeadhouseholdEducation,meaneduc,instlevel1,instlevel2,instlevel3,instlevel4,instlevel5,instlevel6,instlevel7,instlevel8,instlevel9,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,mobilephone,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,area2,age,Target,new_hogar_total,new_dependency,HeadhouseGender,Place,Education,TypeofHome,WallType,FloorType,RoofType,WaterSource,Sanitary,EnergySource,RubishDisposalMethod,ToiletType,WallRate,CeilingRate,FloorRate,TargetCateg,Gender
10,1,2,0,1,1,0,0.0,0,1,1,2,1,3,2,2,4,4,4,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,d6dae86b7,2,2,0,4,yes,9,10.0,0,1,0,0,0,0,0,0,0,1,4.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,11,4,4,1.0,male,lugar1,instlevel2,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar3,elimbasu1,sanitario2,epared1,etecho1,eviv2,non_vulnerable,Female
11,0,3,0,1,1,0,0.0,0,0,0,0,2,2,0,2,2,2,2,12,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,bb2094100,1,1,0,2,yes,11,23.0,0,0,0,0,0,0,1,0,0,2,1.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,18,4,2,1.0,female,lugar1,instlevel7,tipovivi2,paredpreb,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared3,etecho3,eviv3,non_vulnerable,Female
12,0,3,0,1,1,0,0.0,0,0,0,0,2,2,0,2,2,2,2,11,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bb2094100,1,1,0,2,yes,11,23.0,0,0,0,0,1,0,0,0,0,2,1.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,34,4,2,1.0,female,lugar1,instlevel5,tipovivi2,paredpreb,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared3,etecho3,eviv3,non_vulnerable,Female
13,0,4,0,1,1,1,1.0,0,1,1,0,1,1,0,2,2,2,2,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,c51f9c774,0,2,1,2,yes,4,9.5,0,1,0,0,0,0,0,0,0,2,1.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,79,4,3,0.5,female,lugar1,instlevel2,tipovivi1,paredpreb,pisocemento,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared3,etecho3,eviv2,non_vulnerable,Female
14,0,4,0,1,1,1,1.0,0,1,1,0,1,1,0,2,2,2,2,15,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,c51f9c774,0,2,1,2,yes,4,9.5,0,0,0,0,0,0,0,1,0,2,1.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,39,4,3,0.5,female,lugar1,instlevel8,tipovivi1,paredpreb,pisocemento,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared3,etecho3,eviv2,non_vulnerable,Male
15,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6893e65ca,2,2,1,4,3,10,17.0,0,0,0,0,1,0,0,0,0,1,4.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,19,4,5,1.5,female,lugar1,instlevel5,tipovivi3,paredmad,pisomadera,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared1,etecho1,eviv1,non_vulnerable,Male
16,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6893e65ca,2,2,1,4,3,10,17.0,0,1,0,0,0,0,0,0,0,1,4.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,70,4,5,1.5,female,lugar1,instlevel2,tipovivi3,paredmad,pisomadera,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared1,etecho1,eviv1,non_vulnerable,Male
17,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6893e65ca,2,2,1,4,3,10,17.0,0,0,0,0,1,0,0,0,0,1,4.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,19,4,5,1.5,female,lugar1,instlevel5,tipovivi3,paredmad,pisomadera,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared1,etecho1,eviv1,non_vulnerable,Female
18,1,2,0,1,1,0,0.0,0,2,2,0,2,2,0,4,4,4,4,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6893e65ca,2,2,1,4,3,10,17.0,0,0,0,1,0,0,0,0,0,1,4.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,50,4,5,1.5,female,lugar1,instlevel4,tipovivi3,paredmad,pisomadera,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared1,etecho1,eviv1,non_vulnerable,Female
19,0,4,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,12,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,d29058053,0,2,0,2,no,15,13.5,0,0,0,0,0,0,1,0,0,2,1.0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,22,4,2,0.0,male,lugar1,instlevel7,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar3,elimbasu1,sanitario2,epared3,etecho3,eviv3,non_vulnerable,Female
20,0,4,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,15,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,d29058053,0,2,0,2,no,15,13.5,0,0,0,0,0,0,0,1,0,2,1.0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,26,4,2,0.0,male,lugar1,instlevel8,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar3,elimbasu1,sanitario2,epared3,etecho3,eviv3,non_vulnerable,Male
21,0,3,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ec0e8edce,0,2,2,2,8,4,10.0,0,1,0,0,0,0,0,0,0,1,2.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,69,4,4,1.0,male,lugar1,instlevel2,tipovivi3,paredmad,pisomadera,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared1,etecho1,eviv1,non_vulnerable,Male
22,0,3,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ec0e8edce,0,2,2,2,8,4,10.0,0,0,0,0,0,0,0,1,0,1,2.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,66,4,4,1.0,male,lugar1,instlevel8,tipovivi3,paredmad,pisomadera,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared1,etecho1,eviv1,non_vulnerable,Female
23,1,1,1,0,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3e16fab89,0,3,0,3,no,6,10.333333,0,0,1,0,0,0,0,0,0,1,3.0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,41,4,3,0.0,male,lugar1,instlevel3,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguafuera,sanitario1,energcocinar2,elimbasu1,sanitario1,epared3,etecho3,eviv3,non_vulnerable,Male
24,1,1,1,0,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,13,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3e16fab89,0,3,0,3,no,6,10.333333,0,0,0,0,0,0,0,1,0,1,3.0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,20,4,3,0.0,male,lugar1,instlevel8,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguafuera,sanitario1,energcocinar2,elimbasu1,sanitario1,epared3,etecho3,eviv3,non_vulnerable,Male
25,1,1,1,0,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,12,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3e16fab89,0,3,0,3,no,6,10.333333,0,0,0,0,0,0,1,0,0,1,3.0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,40,4,3,0.0,male,lugar1,instlevel7,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguafuera,sanitario1,energcocinar2,elimbasu1,sanitario1,epared3,etecho3,eviv3,non_vulnerable,Female
26,0,5,0,1,1,0,0.0,0,1,1,0,0,0,0,1,1,1,1,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1e84a2ac8,0,1,0,1,no,15,15.0,0,0,0,0,0,0,0,1,0,2,0.5,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,44,4,1,0.0,male,lugar1,instlevel8,tipovivi1,paredmad,pisomadera,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared2,etecho2,eviv2,non_vulnerable,Male
27,0,4,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,759df0194,0,3,1,3,.5,6,6.666666499999999,0,0,1,0,0,0,0,0,0,2,1.5,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,69,4,4,0.3333333333333333,male,lugar1,instlevel3,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar3,elimbasu1,sanitario2,epared3,etecho3,eviv3,non_vulnerable,Male
28,0,4,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,759df0194,0,3,1,3,.5,6,6.666666499999999,0,0,1,0,0,0,0,0,0,2,1.5,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,62,4,4,0.3333333333333333,male,lugar1,instlevel3,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar3,elimbasu1,sanitario2,epared3,etecho3,eviv3,non_vulnerable,Female
29,0,4,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,8,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,759df0194,0,3,1,3,.5,6,6.666666499999999,0,0,0,1,0,0,0,0,0,2,1.5,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,33,4,4,0.3333333333333333,male,lugar1,instlevel4,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar3,elimbasu1,sanitario2,epared3,etecho3,eviv3,non_vulnerable,Male
30,0,5,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,8,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,f2fcf00fd,0,2,0,2,no,8,9.5,0,0,0,1,0,0,0,0,0,2,1.0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,35,4,2,0.0,male,lugar1,instlevel4,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared2,etecho2,eviv3,non_vulnerable,Male
31,0,5,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,f2fcf00fd,0,2,0,2,no,8,9.5,0,0,0,0,1,0,0,0,0,2,1.0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,28,4,2,0.0,male,lugar1,instlevel5,tipovivi3,paredblolad,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared2,etecho2,eviv3,non_vulnerable,Female
32,0,5,0,1,1,0,0.0,0,4,4,0,1,1,0,5,5,5,5,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,cb6bb28dd,1,4,0,5,.25,11,5.25,0,1,0,0,0,0,0,0,0,3,1.6666666,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,28,4,5,0.25,male,lugar1,instlevel2,tipovivi1,paredzocalo,pisomoscer,techozinc,abastaguadentro,sanitario2,energcocinar2,elimbasu1,sanitario2,epared2,etecho2,eviv3,non_vulnerable,Male
